,Brand_name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice_classification,Owner
1,BMW,,Regional Trademark Registration,European Union,Registered,,018295326,EUIPO (European Union),"5, 9, 10, 25",Bayerische Motoren Werke Aktiengesellschaft (Germany)
2,BMW,,National Trademark Registration,Costa Rica,Registered,,261548,RNPCR (Costa Rica),4,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
3,BMW,,National Trademark Registration,Costa Rica,Registered,,296649,RNPCR (Costa Rica),"9, 12, 14, 16, 18, 21, 25, 28, 35, 36, 37, 38, 39, 42",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
4,BMW,,National Trademark Registration,UAE,Registered,,166356,MoE (UAE),8,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
5,BMW,,National Trademark Registration,UAE,Registered,,166361,MoE (UAE),18,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
6,BMW,,National Trademark Registration,UAE,Registered,,166366,MoE (UAE),27,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
7,BMW,,National Trademark Registration,UAE,Registered,,337201,MoE (UAE),39,بايريش موتورين ويرك أكتينجزلشافت (Germany)
8,BMW,,National Trademark Registration,UAE,Registered,,337191,MoE (UAE),7,بايريش موتورين ويرك أكتينجزلشافت (Germany)
9,BMW,,National Trademark Registration,UAE,Registered,,337196,MoE (UAE),25,بايريش موتورين ويرك أكتينجزلشافت (Germany)
10,BMW,,National Trademark Registration,UAE,Registered,,257361,MoE (UAE),4,بايريش موتورين ويرك أكتينجزلشافت (Germany)
11,BMW,,National Trademark Registration,Chile,Registered,,906385,INAPI (Chile),37,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT
12,BMW,,National Trademark Registration,Chile,Registered,,1019237,INAPI (Chile),12,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT
13,BMW,,National Trademark Registration,Chile,Registered,,1016013,INAPI (Chile),37,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT
14,BMW,,National Trademark Registration,Chile,Registered,,1102707,INAPI (Chile),25,Bayerische Motoren Werke Aktiengesellschaft
15,BMW,,National Trademark Application,Costa Rica,Ended,,2001-002361,RNPCR (Costa Rica),12,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
16,BMW,,National Trademark Registration,Australia,Registered,,2160586,IPA (Australia),"2, 3, 4, 7, 8, 9, 11, 12, 14, 16, 18, 21, 25, 27, 28, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43",Bayerische Motoren Werke Aktiengesellschaft (Germany)
